ID,SPRADDR_CNTY_CODE,SARADAP_STYP_CODE_2,SPRADDR_STAT_CODE,SARADAP_ADMT_CODE,ETHNICITY,SARAPPD_APDC_CODE,SARAPPD_APDC_DATE,SARADAP_MAJR_CODE_1,SARADAP_PROGRAM_1,SARADAP_MAJR_CODE_CONC_1,AGE,HS_NAME,HS_CITY,HS_STATE,HS_COUNTY,SPBPERS_SEX,SAT_MATH,SAT_ERBW,SAT_TOTAL,ACT_COMPOSITE,COL_DESC,COL_STATE,DCHS_IND,REC_TEST_PLAN,HOUSING_INTEREST,FIRST_GEN_IND,PCKG_GROUP_IND,HOUS_DEP_PAID,FAFSA_IND,REC_EOF_LOCATION,REC_COUNTRY_OF_ORIG,REC_COMPLETED_DATE
132318,001,F,NJ,FX,Non-Resident,IE,2022-04-20,CSCI,CSCI,COND,21,MC College,Sylhet,,Out of State,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNN: Graduated from college: Bachelors degree,,Y,,,Bangladesh,2022-03-23
132296,099,F,,FX,Non-Resident,IE,2022-04-21,CSCI,CSCI,COND,18,Milestone College,Dhaka,,Out of State,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNN: Graduated from college: Bachelors degree,,Y,,,Bangladesh,2022-03-21
131801,029,F,NJ,FR,Native Hawaiian or other Pacific Islander,IE,2022-04-23,BIOL,BIOL-BS,COND,18,BRICK TOWNSHIP HIGH SCHOOL,BRICKTOWN,NJ,Ocean,M,,,0,,OCEAN COUNTY COLLEGE,NJ,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-02-21
130864,029,F,NJ,FI,Non-Resident,IE,2022-03-25,BIOL,BIOL-BS,COND,19,SOUTHERN REGIONAL HIGH SCHOOL,MANAHAWKIN,NJ,Ocean,F,,,0,,,,,I will submit SAT or ACT scores,,FGNN: Graduate school,,,,,Sierra Leone,2021-10-22
132778,015,F,NJ,FR,Caucasian or White,IE,2022-08-30,HLSC,HLTH-BS,COND,18,DELSEA REGIONAL HIGH SCHOOL,FRANKLINVILLE,NJ,Gloucester,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNN: Graduated from college: Bachelors degree,UGOFFN,,Y,,,2022-08-17
132743,005,F,NJ,FR,Black or African American,IE,2022-08-07,BIOL,BIOL-BS,COND,18,BURLINGTON TWP. HIGH SCHOOL,BURLINGTON,NJ,Burlington,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: Some college,UGONN,Y,Y,,,2022-07-28
132733,023,F,NJ,FR,Asian,IE,2022-08-01,CSCI,CSCI,COND,19,WOODBRIDGE VO-TECH,WOODBRIDGE,NJ,Middlesex,M,650,,0,,,,,I will submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-07-25
132719,015,F,NJ,FR,Caucasian or White,IE,2022-07-24,HLSC,HLTH-BS,COND,18,CLAYTON HIGH SCHOOL,CLAYTON,NJ,Gloucester,F,510,500,1010,,,,,I will NOT submit SAT or ACT scores,,FGNN: Graduated from college: Bachelors degree,UGWPN,,Y,,,2022-07-19
132691,001,F,NJ,FR,Caucasian or White,IE,2022-07-05,EXSC,EXSC-BS,COND,18,ABSEGAMI HIGH SCHOOL,GALLOWAY,NJ,Atlantic,F,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNN: Graduated from college: Bachelors degree,UGOFFN,,Y,,,2022-07-05
132689,007,F,NJ,FR,Black or African American,IE,2022-07-05,BIOL,BIOL-BS,COND,18,WINSLOW TWP. HIGH SCHOOL,ATCO,NJ,Camden,M,430,,0,,,,,I will NOT submit SAT or ACT scores,HO,,REJISR,Y,Y,,,2022-06-30
132678,001,F,NJ,FR,Caucasian or White,IE,2022-07-09,BCMB,BCMB,COND,18,MAINLAND REGIONAL HIGH SCHOOL,LINWOOD,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-06-27
132639,025,F,NJ,FR,Black or African American,IE,2022-07-07,CHEM,CHEM-BA,COND,18,RED BANK CATHOLIC HIGH SCHOOL,RED BANK,NJ,Monmouth,F,420,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: High School diploma or GED,UGONN,Y,Y,,,2022-06-14
132635,001,F,NJ,FR,Black or African American,IE,2022-06-23,CSCI,CSCI,COND,21,MAINLAND REGIONAL HIGH SCHOOL,LINWOOD,NJ,Atlantic,F,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNN: Graduated from college: Bachelors degree,UGOFFN,,Y,,,2022-06-13
132632,025,F,NJ,FR,Black or African American,IE,2022-06-29,HLSC,HLTH-BS,COND,18,RED BANK CATHOLIC HIGH SCHOOL,RED BANK,NJ,Monmouth,F,390,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: Some trade school or community college,UGONN,Y,Y,,,2022-06-13
132608,001,F,NJ,SP,Black or African American,IE,2022-06-12,EXSC,EXSC-BS,COND,18,ATLANTIC CITY HS,ATLANTIC CITY,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,,,UGONN,,Y,,,2022-06-02
132573,029,F,NJ,SP,Hispanic or Latino,IE,2022-07-20,CSCI,CSCI,COND,19,LAKEWOOD HIGH SCHOOL,LAKEWOOD,NJ,Ocean,M,,,0,,,,,I will NOT submit SAT or ACT scores,,,REJISR,,Y,,,2022-06-13
132564,001,F,NJ,FR,Caucasian or White,IE,2022-06-09,CSCI,CSCI,COND,18,EGG HARBOR TOWNSHIP HS,EGG HARBOR TOWNSHIP,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNN: Graduated from college: Bachelors degree,UGWPN,,Y,,,2022-05-20
132556,001,F,NJ,FR,Caucasian or White,IE,2022-06-26,CSCI,CSCI,COND,18,CEDAR CREEK HIGH SCHOOL,EGG HARBOR CITY,NJ,Atlantic,M,460,480,940,,,,,I will NOT submit SAT or ACT scores,,,UGWPN,,Y,,,2022-05-18
132522,001,F,NJ,FR,Black or African American,IE,2022-06-01,MATH,MATH-BS,COND,18,OAKCREST HIGH SCHOOL,MAYS LANDING,NJ,Atlantic,M,400,550,950,,,,,I will submit SAT or ACT scores,,,UGWPN,,Y,,,2022-05-10
132499,001,F,NJ,FR,Hispanic or Latino,IE,2022-05-24,BIOL,BIOL-BS,COND,18,WINSLOW TWP. HIGH SCHOOL,ATCO,NJ,Camden,F,530,570,1100,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-05-04
132495,023,F,NJ,FR,Caucasian or White,IE,2022-05-15,ENSC,ENVL_BS,COND,18,FREEHOLD TWP. HIGH SCHOOL,FREEHOLD,NJ,Monmouth,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-05-04
132486,007,F,NJ,SP,Hispanic or Latino,IE,2022-07-07,HLSC,HLTH-BS,COND,18,WOODROW WILSON HIGH SCHOOL,CAMDEN,NJ,Camden,F,,,0,,,,,I will submit SAT or ACT scores,,FGNN: Graduated from college: Bachelors degree,UGONN,,Y,,,2022-04-28
132431,001,F,NJ,FR,Asian,IE,2022-04-27,BCMB,BCMB,COND,19,ATLANTIC CITY HS,ATLANTIC CITY,NJ,Atlantic,M,,,0,,,,,I will submit SAT or ACT scores,,,UGWPN,,Y,,,2022-04-13
132430,011,F,NJ,FR,Caucasian or White,IE,2022-05-01,HLSC,HLTH-BS,COND,19,DELSEA REGIONAL HIGH SCHOOL,FRANKLINVILLE,NJ,Gloucester,F,460,410,870,,,,,I will NOT submit SAT or ACT scores,,,UGWPN,,Y,,,2022-04-14
132425,001,F,NJ,EO,Caucasian or White,IE,2022-06-09,ENSC,ENVL_BS,COND,18,CEDAR CREEK HIGH SCHOOL,EGG HARBOR CITY,NJ,Atlantic,F,370,450,820,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: High School diploma or GED,UGOFFN,,Y,Main Campus - Verified,,2022-05-02
132420,099,F,MD,FR,Asian,IE,2022-05-04,HLSC,HLTH-BS,COND,29,,,,,M,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNY: High School diploma or GED,UGOUTN,,Y,,,2022-04-12
132419,003,F,NJ,FR,Caucasian or White,IE,2022-04-27,HLSC,HLTH-BS,COND,18,SADDLEBROOK HIGH SCHOOL,SADDLE BROOK,NJ,Bergen,F,430,390,820,,,,,I will submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-04-12
132414,009,F,NJ,FR,Caucasian or White,IE,2022-04-23,EXSC,EXSC-BS,COND,19,OCEAN CITY HIGH SCHOOL,OCEAN CITY,NJ,Cape May,F,,,0,23,GEORGETOWN UNIVERSITY,DC,,I will submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-04-13
132396,009,F,NJ,SP,Black or African American,IE,2022-07-13,HLSC,HLTH-BS,COND,18,OCEAN CITY HIGH SCHOOL,OCEAN CITY,NJ,Cape May,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-04-25
132388,007,F,NJ,FR,Caucasian or White,IE,2022-05-01,ENSC,ENVL_BS,COND,18,AUDUBON JR/SR HIGH SCHOOL,AUDUBON,NJ,Camden,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: Some trade school or community college,UGONN,Y,Y,,,2022-04-05
132386,001,F,NJ,SP,Hispanic or Latino,IE,2022-05-01,EXSC,EXSC-BS,COND,18,PLEASANTVILLE HS,PLEASANTVILLE,NJ,Atlantic,M,,,0,,,,,I will submit SAT or ACT scores,,,UGWPN,,Y,,,2022-04-05
132381,029,F,NJ,FR,Caucasian or White,IE,2022-04-11,CSCI,CSCI,COND,18,SOUTHERN REGIONAL HIGH SCHOOL,MANAHAWKIN,NJ,Ocean,M,,,0,,,,,I will submit SAT or ACT scores,,,UGWPN,,Y,,,2022-04-04
132359,001,F,NJ,FR,Asian,IE,2022-05-09,BIOL,BIOL-BS,COND,18,ATLANTIC COUNTY INST OF TECH,MAYS LANDING,NJ,Atlantic,M,450,,0,,,,,I will NOT submit SAT or ACT scores,,FGNY: High School diploma or GED,UGWPN,,Y,,,2022-04-08
132358,011,F,NJ,FR,Hispanic or Latino,IE,2022-07-28,BIOL,BIOL-BS,COND,18,MILLVILLE SENIOR HIGH,MILLVILLE,NJ,Cumberland,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: High School diploma or GED,UGONN,Y,Y,,,2022-07-19
132345,001,F,NJ,FR,Caucasian or White,IE,2022-04-29,HLSC,HLTH-BS,COND,18,ATLANTIC COUNTY INST OF TECH,MAYS LANDING,NJ,Atlantic,F,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNY: High School diploma or GED,UGOFFN,,Y,,,2022-03-28
132337,029,F,NJ,FR,Hispanic or Latino,IE,2022-04-20,HLSC,HLTH-BS,COND,18,PERFORMING ARTS ACAD,TOMS RIVER,NJ,Ocean,F,,,0,,,,,I will submit SAT or ACT scores,,FGNY: Some college,UGWPN,,Y,,,2022-03-25
132333,029,F,NJ,FR,Caucasian or White,IE,2022-04-28,HLSC,HLTH-BS,COND,18,LACEY TOWNSHIP HIGH SCHOOL,LANOKA HARBOR,NJ,Ocean,F,470,450,920,,,,,I will submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-03-29
132332,007,F,NJ,FR,Caucasian or White,IE,2022-06-01,SSTB,SUST-BA,COND,18,TRITON REGIONAL HIGH SCHOOL,RUNNEMEDE,NJ,Camden,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-03-24
132328,001,F,NJ,FR,Hispanic or Latino,IE,2022-04-30,CSCI,CSCI,COND,18,PLEASANTVILLE HS,PLEASANTVILLE,NJ,Atlantic,M,,,0,,ATLANTIC CAPE COMMUNITY COL,NJ,,I will submit SAT or ACT scores,,,UGWPN,,Y,,,2022-03-24
132327,007,F,NJ,SP,Caucasian or White,IE,2022-08-08,HLSC,HLTH-BS,COND,18,OVERBROOK SR. HIGH SCHOOL,PINE HILL,NJ,Camden,F,,,0,,,,,I will submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-24
132314,001,F,NJ,FR,Hispanic or Latino,IE,2022-06-14,BIOL,BIOL-BA,COND,18,EGG HARBOR TOWNSHIP HS,EGG HARBOR TOWNSHIP,NJ,Atlantic,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-23
132312,007,F,NJ,EO,Black or African American,IE,2022-05-01,HLSC,HLTH-BS,COND,18,FREEDOM PREP CHARTER HS,Camden,NJ,Camden,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,Atlantic City 1 - Verified,,2022-03-22
132308,037,F,NJ,FR,Caucasian or White,IE,2022-04-17,BIOL,BIOL-BS,COND,18,HIGH POINT REGIONAL HIGH SCHOO,SUSSEX,NJ,Sussex,F,,,0,25,,,,I will submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-22
132307,029,F,NJ,FR,Caucasian or White,IE,2022-04-23,EXSC,EXSC-BS,COND,18,PINELANDS REGIONAL HIGH SCHOOL,TUCKERTON,NJ,Ocean,M,,,0,,,,,I will NOT submit SAT or ACT scores,,,UGWPN,,Y,,,2022-03-22
132301,015,F,NJ,FR,Black or African American,IE,2022-06-04,CSCI,CSCI,COND,18,WILLIAMSTOWN HIGH SCHOOL,WILLIAMSTOWN,NJ,Gloucester,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: Some college,UGONN,Y,Y,,,2022-05-04
132286,007,F,NJ,FR,More Than 1 Race,IE,2022-05-01,HLSC,HLTH-BS,COND,18,WASHINGTON TWP. HIGH SCHOOL,SEWELL,NJ,Gloucester,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-03-16
132285,013,F,NJ,FR,Black or African American,IE,2022-04-08,CSCI,CSCI,COND,17,ORANGE HIGH SCHOOL,ORANGE,NJ,Essex,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-16
132276,005,F,NJ,FR,Caucasian or White,IE,2022-05-02,BIOL,BIOL-BA,COND,18,RANCOCAS VALLEY REGIONAL HIGH,MOUNT HOLLY,NJ,Burlington,F,,,0,,,,Y,I will NOT submit SAT or ACT scores,,FGNY: Graduated from community college: Asso. degree,REJISR,,Y,,,2022-04-20
132269,025,F,NJ,FR,More Than 1 Race,IE,2022-04-25,HLSC,HLTH-BS,COND,18,RUMSON-FAIR HAVEN REGIONAL HIG,RUMSON,NJ,Monmouth,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-03-15
132264,001,F,NJ,FR,Hispanic or Latino,IE,2022-04-07,BIOL,BIOL-BS,COND,19,PLEASANTVILLE HS,PLEASANTVILLE,NJ,Atlantic,M,520,490,1010,,ATLANTIC CAPE COMMUNITY COL,NJ,,I will NOT submit SAT or ACT scores,,,UGWPN,,Y,,,2022-03-29
132260,009,F,NJ,FR,Black or African American,IE,2022-03-23,CHEM,CHEM-BS,COND,18,WILDWOOD HIGH SCHOOL,WILDWOOD,NJ,Cape May,F,500,470,970,,,,,I will submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-14
132242,001,F,NJ,SP,Asian,IE,2022-05-02,CSCI,CSCI,COND,19,PLEASANTVILLE HS,PLEASANTVILLE,NJ,Atlantic,M,,,0,,,,,I will submit SAT or ACT scores,,,,,,,,2022-03-11
132239,099,F,DE,FR,Caucasian or White,IE,2022-03-21,HLSC,HLTH-BS,COND,18,Red Lion Christian Academy,Bear,DE,Out of State,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: High School diploma or GED,UGOUTN,,Y,,,2022-03-11
132235,007,F,NJ,SP,Caucasian or White,IE,2022-05-24,HLSC,HLTH-BS,COND,18,HAMMONTON HS,HAMMONTON,NJ,Atlantic,M,,,0,,,,,I will submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-03-10
132221,001,F,NJ,FR,Hispanic or Latino,IE,2022-05-17,CHEM,CHEM-BS,COND,18,ATLANTIC CITY HS,ATLANTIC CITY,NJ,Atlantic,F,560,560,1120,,,,,I will submit SAT or ACT scores,,,UGOFFN,,,,,2022-03-08
132220,001,F,NJ,SP,Asian,IE,2022-03-29,CSCI,CSCI,COND,18,PLEASANTVILLE HS,PLEASANTVILLE,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,,,,,,2022-03-08
132219,001,F,NJ,FR,Black or African American,IE,2022-04-17,EXSC,EXSC-BS,COND,18,EGG HARBOR TOWNSHIP HS,EGG HARBOR TOWNSHIP,NJ,Atlantic,M,550,580,1130,,,,,I will submit SAT or ACT scores,HO,FGNY: Some college,UGONN,Y,Y,,,2022-04-05
132217,025,F,NJ,FR,Caucasian or White,IE,2022-04-28,CSCI,CSCI,COND,18,RED BANK REGIONAL HIGH SCHOOL,LITTLE SILVER,NJ,Monmouth,M,510,470,980,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-03-07
132207,021,F,NJ,FR,Caucasian or White,IE,2022-03-17,CHEM,CHEM-BS,COND,18,HOPEWELL VALLEY CENTRAL HS,PENNINGTON,NJ,Mercer,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNN: Graduated from college: Bachelors degree,UGONN,Y,Y,,,2022-03-07
132202,025,F,NJ,FR,Black or African American,IE,2022-04-10,HLSC,HLTH-BS,COND,18,NEPTUNE SENIOR HIGH SCHOOL,NEPTUNE,NJ,Monmouth,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-11
132196,005,F,NJ,FR,Caucasian or White,IE,2022-03-22,ENSC,ENVL_BS,COND,18,BURLINGTON CO. INST. OF TECH,MOUNT HOLLY,NJ,Burlington,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: High School diploma or GED,UGONN,,Y,,,2022-03-04
132192,001,F,NJ,EO,More Than 1 Race,IE,2022-04-23,PHYS,PHYS-BS,COND,18,ATLANTIC CITY HS,ATLANTIC CITY,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,Atlantic City 1 - Verified,,2022-03-04
132183,001,F,NJ,FR,Asian,IE,2022-04-21,CSCI,CSCI,COND,18,ABSEGAMI HIGH SCHOOL,GALLOWAY,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNY: High School diploma or GED,UGOFFN,,Y,,,2022-03-03
132181,025,F,NJ,FR,Hispanic or Latino,IE,2022-04-28,HLSC,HLTH-BS,COND,18,FREEHOLD HIGH SCHOOL,FREEHOLD,NJ,Monmouth,F,,,0,,Rutgers Univ-Newark PreCol,NJ,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-02
132180,017,F,NJ,FR,Black or African American,IE,2022-03-27,HLSC,HLTH-BS,COND,19,LINCOLN HIGH SCHOOL,JERSEY CITY,NJ,Hudson,F,340,380,720,,,,,I will submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-02
132179,001,F,NJ,SP,Caucasian or White,IE,2022-07-06,HLSC,HLTH-BS,COND,18,HAMMONTON HS,HAMMONTON,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNN: Graduate school,UGWPN,,Y,,,2022-03-02
132177,025,F,NJ,FR,Hispanic or Latino,IE,2022-05-02,CSCI,CSCI,COND,18,HOWELL HIGH SCHOOL,FARMINGDALE,NJ,Monmouth,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-04-18
132175,007,F,NJ,FR,Black or African American,IE,2022-05-20,HLSC,HLTH-BS,COND,18,LEAP ACADEMY HIGH SCHOOL,CAMDEN,NJ,Camden,F,,,0,,RUTGERS Camden Arts & Sciences,NJ,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-04-14
132165,029,F,NJ,FR,Caucasian or White,IE,2022-04-27,HLSC,HLTH-BS,COND,19,SOUTHERN REGIONAL HIGH SCHOOL,MANAHAWKIN,NJ,Ocean,F,,,0,,,,,I will submit SAT or ACT scores,,,UGOFFN,,Y,,,2022-03-10
132148,005,F,NJ,EO,Caucasian or White,IE,2022-05-29,MATH,MATH-BS,COND,18,LENAPE HIGH SCHOOL,MEDFORD,NJ,Burlington,F,,,0,27,,,,I will submit SAT or ACT scores,HO,FGNY: Some college,UGONN,Y,Y,Atlantic City 1 - Verified,,2022-05-20
132132,001,F,NJ,SP,Hispanic or Latino,IE,2022-05-10,CSCI,CSCI,COND,18,PLEASANTVILLE HS,PLEASANTVILLE,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,,,UGWPN,,Y,,,2022-02-23
132130,001,F,NJ,FR,Asian,IE,2022-04-11,HLSC,HLTH-BS,COND,19,ATLANTIC CITY HS,ATLANTIC CITY,NJ,Atlantic,F,,,0,,,,,I will NOT submit SAT or ACT scores,,,UGWPN,,Y,,,2022-03-30
132124,039,F,NJ,SP,Black or African American,IE,2022-04-27,HLSC,HLTH-BS,COND,18,UNION HIGH SCHOOL,UNION,NJ,Union,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: Some trade school or community college,UGONN,Y,Y,,,2022-02-22
